"iteracao";"particula";"tempo decorrido";"custo"
0;0;0,1107038000000;2,998185452012844
0;3;0,1115568000000;2,729221739423360
1;2;0,1842696000000;2,729221739423360
1;5;0,2324041000000;2,729221739423360
1;7;0,2795714000000;2,729221739423360
1;11;0,4056306000000;2,729221739423360
1;20;0,6883878000000;2,729221739423360
1;31;0,9779890000000;2,729221739423360
2;0;0,29198275000000;2,716788535553937
2;36;0,35358999000000;2,716788535553937
2;89;0,43715830000000;2,716788535553937
3;89;0,57840367000000;2,716788530053060
4;89;0,70664881000000;2,716788528965590
5;89;0,82030932000000;2,716788527926584
6;89;0,96277185000000;2,716788526933773
7;89;0,109936614000000;2,716788525985049
8;89;0,123714728000000;2,716788525078436
9;89;0,136332181000000;2,716788524212073
10;89;0,149930055000000;2,716788523388037
